Name	Entsprechender .worldport Befehl
The Dawning Isles	.worldport .0. .982.34. .201.239. .34.9509. .0.
The Dead Field	.worldport .0. .1035.91. .1540.85. .30.525. .0.
The Decrepit Fairy	.worldport .0. .675.698. .974.873. .34.8849. .0.
The Den of Flame	.worldport .1. .-4336.82. .-3018.67. .33.1744. .0.
The Dor'danil Barrow Den	.worldport .1. .1775.1. .-2679.19. .111.666. .0.
The Dragonmurk	.worldport .1. .-4197.56. .-2873.76. .44.6771. .0.
The Drowned Reef	.worldport .0. .-2200.52. .-1685.18. .-34.4569. .0.
The Forgotten Pools	.worldport .1. .110.197. .-1891.39. .93.5444. .0.
The Greymane Wall	.worldport .0. .-757.376. .1527.28. .17.2465. .0.
The Ivar Patch	.worldport .0. .1285.69. .1242.33. .52.6914. .0.
The Loch Lake	.worldport .0. .-5201.86. .-3136.59. .298.761. .0.
The Long Wash	.worldport .1. .5028.14. .534.745. .7.28397. .0.
The Maclure Vineyards	.worldport .0. .-9881.4. .88.8972. .33.3196. .0.
The North Coast	.worldport .0. .2955.79. .99.8215. .3.32947. .0.
The Racetrack	.worldport .1. .-6202.16. .-3901.68. .-60.2858. .0.
The Rustmaul Dig Site	.worldport .1. .-6495.56. .-3472.69. .-58.7786. .0.
The Savage Coast	.worldport .0. .-13274.4. .769.951. .2.45505. .0.
The Screeching Canyon	.worldport .1. .-5467.33. .-1633.45. .29.4245. .0.
The Sepulcher	.worldport .0. .507.784. .1611.33. .124.921. .0.
The Skittering Dark	.worldport .0. .1293.65. .1957.71. .19.5619. .0.
The Sludge Fen	.worldport .1. .1059.54. .-3003.53. .91.6441. .0.
The Stagnant Oasis	.worldport .1. .-1330.17. .-3120.07. .91.6667. .0.
The Stonefiled Farm	.worldport .0. .-9964.72. .391.509. .35.6555. .0.
The Tainted Scar	.worldport .0. .-12134.7. .-2455.53. .19.61. .0.
The Throne Room	.worldport .0. .1628.3. .239.925. .64.5006. .0.
The Uplands	.worldport .0. .1239.12. .-286.705. .42.4764. .0.
The Verdant Fields	.worldport .169. .-2128.12. .-1005.89. .132.213. .0.
The Vile Reef	.worldport .0. .-12258.9. .621.105. .-68.3247. .0.
The Writhing Haunt	.worldport .0. .1487.77. .-1884.87. .59.2039. .0.
TheAltarOfZul	.worldport .0. .-295.384. .-3459.12. .194.005. .0.
TheBalwark	.worldport .0. .1716.02. .-788.217. .56.844. .0.
TheBarrens	.worldport .1. .90.1003. .-1943.44. .79.4727. .0.
TheBlackMorass	.worldport .269. .-2061.12. .6635.97. .-144.596. .0.
TheBulwark	.worldport .0. .1636.09. .-1011.36. .76.1124. .0.
TheCauldron	.worldport .0. .-6892.24. .-1342.38. .239.913. .0.
TheCleftOfShadow	.worldport .1. .1805.41. .-4337.11. .-11.1877. .0.
TheCommons	.worldport .0. .-4920.61. .-955.967. .501.51. .0.
TheCrossroads	.worldport .1. .-456.263. .-2652.7. .95.615. .0.
TheDaggerHills	.worldport .0. .-11275.5. .1448.2. .89.0785. .0.
TheDarkenedBank	.worldport .0. .-10015.9. .-575.457. .42.7515. .0.
TheDawningIsles	.worldport .0. .982.34. .201.239. .34.9509. .0.
TheDeadAcre	.worldport .0. .-10776.2. .881.872. .33.9199. .0.
TheDeadField	.worldport .0. .1035.91. .1540.85. .30.525. .0.
TheDecrepitFairy	.worldport .0. .675.698. .974.873. .34.8849. .0.
TheDen	.worldport .1. .-604.922. .-4156.99. .43.2112. .0.
TheDenOfFlame	.worldport .1. .-4336.82. .-3018.67. .33.1744. .0.
TheDrag	.worldport .1. .1860.46. .-4513.91. .23.657. .0.
TheDustPlains	.worldport .0. .-11116.3. .585.337. .34.4177. .0.
TheDwarvenDistrict	.worldport .0. .-8434.69. .605.975. .94.9669. .0.
TheForgottenCoast	.worldport .1. .-4508.92. .2041.68. .51.3872. .0.
TheForlornCavern	.worldport .0. .-4637.04. .-1101.53. .501.281. .0.
TheForstriderLodge	.worldport .0. .-5675.42. .-4244.87. .407.002. .0.
TheFungalVale	.worldport .0. .2448.25. .-3703.94. .179.083. .0.
TheGapingChasm	.worldport .1. .-9311.04. .-3945.9. .10.6628. .0.
TheGreatForge	.worldport .0. .-4795.88. .-1113.26. .498.807. .0.
TheGreatLife	.worldport .1. .-4619.15. .-1850.91. .86.0563. .0.
TheGreymaneWall	.worldport .0. .-757.376. .1527.28. .17.2465. .0.
TheHeadland	.worldport .0. .15.1686. .-337.262. .130.995. .0.
TheHiddenGrove	.worldport .1. .7641.78. .-4935.77. .696.609. .0.
Thelsamar	.worldport .0. .-5335.61. .-2982.58. .332.669. .0.
Thelsamar	.worldport .0. .-5335.61. .-2982.58. .332.669. .0.
TheMaclureVineyards	.worldport .0. .-9881.4. .88.8972. .33.3196. .0.
TheMageQuarter	.worldport .0. .-8979.44. .851.161. .105.584. .0.
TheMagicQuarter	.worldport .0. .1733.62. .103.444. .-61.857. .0.
TheMakersTerrace	.worldport .0. .-6092.32. .-3214.55. .262.727. .0.
TheMarshlands	.worldport .1. .-7286.01. .-2125.06. .-272.114. .0.
TheMarshlands	.worldport .1. .-7353.57. .-1792.67. .-266.037. .0.
TheMilitartWard	.worldport .0. .-4970.65. .-1210.7. .501.829. .0.
TheMoltenBridge	.worldport .230. .1097.99. .-466.494. .-96.0719. .0.
TheMoltenCore	.worldport .409. .1115.22. .-462.959. .-95.0148. .0.
TheMonstersGlaive	.worldport .1. .4565.22. .438.446. .32.9133. .0.
TheMysticWard	.worldport .0. .-4678.19. .-968.721. .501.659. .0.
TheNorthCoast	.worldport .0. .2955.79. .99.8215. .3.32947. .0.
TheNoxiousGlade	.worldport .0. .2714.32. .-5455.48. .159.145. .0.
TheNoxiousLair	.worldport .1. .-7779.9. .-2691.72. .9.14648. .0.
TheNoxiusLair	.worldport .1. .-8044.95. .-2525.12. .12.1908. .0.
TheOpthecarium	.worldport .0. .1457.61. .382.548. .-59.2747. .0.
TheOracleGlade	.worldport .1. .10661.2. .1875.75. .1323.46. .0.
ThePark	.worldport .0. .-8755.55. .1094.03. .95.4037. .0.
ThePillarsOfAsh	.worldport .0. .-8068.39. .-1603.97. .139.572. .0.
ThePoolsOfVision	.worldport .1. .-1003.42. .261.579. .112.153. .0.
Theramore Isle City	.worldport .1. .-3729.36. .-4421.41. .30.4474. .0.
Theramore Isle Lighthouse	.worldport .1. .-3688.18. .-4760.14. .0.909682. .0.
TheramoreIsle	.worldport .1. .-3615.49. .-4467.34. .24.3141. .0.
TheramoreIsleCity	.worldport .1. .-3729.36. .-4421.41. .30.4474. .0.
TheRogueQuarter	.worldport .0. .1456.44. .104.917. .-61.8538. .0.
TheRottingOrchard	.worldport .0. .-11069.3. .-927.315. .63.502. .0.
TheRuinsOfLordaeron	.worldport .0. .1801.58. .237.355. .62.7537. .0.
TheRuinsOfStardust	.worldport .1. .2178.01. .-288.45. .97.3499. .0.
TheRustmaulDigSite	.worldport .1. .-6495.56. .-3472.69. .-58.7786. .0.
TheScreechingCanyon	.worldport .1. .-5467.33. .-1633.45. .29.4245. .0.
TheSepulchen	.worldport .0. .507.784. .1611.33. .124.921. .0.
TheSewers	.worldport .0. .1652.9. .732.491. .80.3365. .0.
TheShatteredStrand	.worldport .1. .4260.73. .-6273.64. .90.2289. .0.
TheShrineOfAessina	.worldport .1. .2681.05. .377.693. .67.8608. .0.
TheSkitteringDark	.worldport .0. .1293.65. .1957.71. .19.5619. .0.
TheSliteringScar	.worldport .1. .-7872.52. .-1344.78. .-275.459. .0.
TheSlitheringScar	.worldport .1. .-7849.33. .-1366.02. .-272.196. .0.
TheSludgeFen	.worldport .1. .1059.54. .-3003.53. .91.6441. .0.
TheTalondeepPath	.worldport .1. .1943.14. .-741.766. .113.11. .0.
TheTempleGardens	.worldport .1. .9935.34. .2506.11. .1317.82. .0.
TheTempleOfTheMoon	.worldport .1. .9674.56. .2524.82. .1333.9. .0.
TheThreeCorners	.worldport .0. .-3239.78. .-2461.01. .15.6003. .0.
TheTradeDistrict	.worldport .0. .-8823.79. .629.658. .93.9781. .0.
TheUndercroft	.worldport .0. .1718.68. .-3281.46. .89.6587. .0.
TheValleyOfHonor	.worldport .1. .2002.99. .-4698.97. .24.646. .0.
TheValleyOfSpirits	.worldport .1. .1550.97. .-4179.4. .40.2954. .0.
TheValleyOfStrength	.worldport .1. .1719.05. .-3948.28. .49.0563. .0.
TheValleyOfWisdom	.worldport .1. .1931.81. .-4282.29. .29.0671. .0.
TheVault	.worldport .0. .-8653.45. .606.19. .91.16. .5.37.
TheVentureCoMine	.worldport .1. .-1445.53. .-1064.14. .143.596. .0.
TheVice	.worldport .0. .-10889.8. .-2291.2. .117.131. .0.
TheViceCorners	.worldport .0. .-10853. .-2087.44. .121.918. .0.
TheWrithingHaunt	.worldport .0. .1462.13. .-1864.02. .58.7028. .0.
TheZoramStrand	.worldport .1. .3567.67. .967.583. .2.01467. .0.
Thoradin's Wall	.worldport .0. .-839.599. .-1590.32. .54.1962. .0.
ThoradinsWall	.worldport .0. .-798.029. .-1536.26. .54.6497. .0.
ThoradinsWall	.worldport .0. .-839.599. .-1590.32. .54.1962. .0.
ThoriumPoint	.worldport .0. .-6492.69. .-1035.33. .346.993. .0.
ThousandNeedles	.worldport .1. .-4932.53. .-1596.05. .84.8157. .0.
Three Frozen Ancients	.worldport .1. .6200. .-1035. .387. .0.
ThreeCorners	.worldport .0. .-3239.78. .-2461.01. .15.6003. .0.
ThreeFrozenAncients	.worldport .1. .6200. .-1035. .387. .0.
Thunder Axe Fortress	.worldport .1. .-439.192. .1708.22. .125.856. .0.
Thunder Ridge	.worldport .1. .925.127. .-4038.29. .-13.338. .0.
ThunderAxeFortress	.worldport .1. .-439.192. .1708.22. .125.856. .0.
thunderbluff	.worldport .1. .-1285.42. .176.523. .129.994. .0.
Thunderbrew	.worldport .0. .-5601.46. .-530.747. .395.483. .0.
ThunderbrewDistillery	.worldport .0. .-5601.46. .-530.747. .395.483. .0.
ThunderhornWaterWell	.worldport .1. .-1829.21. .-231.982. .-9.42481. .0.
ThunderRidge	.worldport .1. .925.127. .-4038.29. .-13.338. .0.
TimbermawHold	.worldport .1. .6794.4. .-2076.2. .624.165. .0.
TimbermawPost	.worldport .1. .6485.09. .-3158.42. .570.607. .0.
TinkerTown	.worldport .0. .-4830.77. .-1271.9. .501.868. .0.
Tiragarde Keep	.worldport .1. .-250.245. .-5070.41. .22.5875. .0.
TiragardeKeep	.worldport .1. .-141.195. .-4987.04. .21.7237. .0.
TirisfalGlades	.worldport .0. .2019.35. .1904.36. .105.144. .0.
ToDanBaladarPass	.worldport .0. .417.004. .-1015.84. .111.709. .0.
ToHifal	.worldport .1. .4541.94. .-3983.92. .941.822. .0.
Top of Blackrock Mountain	.worldport .0. .-7468. .-1082. .896. .0.
TopOfBlackRockMountain	.worldport .0. .-7468. .-1082. .900. .0.
Tower of Althalaxx	.worldport .1. .7177.46. .-761.607. .59.6101. .0.
TowerOfAlgalor	.worldport .0. .-9281.94. .-3332.11. .115.566. .0.
TowerOfAlthalaxx	.worldport .1. .7177.46. .-761.607. .59.6101. .0.
TowerOfAzora	.worldport .0. .-9527.48. .-686.064. .62.2502. .0.
TowerPoint	.worldport .30. .-695.936. .-427.201. .87.9976. .0.
TradeDistrict	.worldport .0. .-8823.79. .629.658. .93.9781. .0.
TradesmensTerrace	.worldport .1. .9764.55. .2313.62. .1327.68. .0.
TranquilGardenCemetery	.worldport .0. .-10993.3. .-1331.19. .52.7805. .0.
TwilightGrove	.worldport .0. .-10385. .-424.696. .63.534. .0.
TwilightPost	.worldport .1. .-6750.62. .1593.26. .6.71623. .0.
TwilightShore	.worldport .1. .4988.97. .547.002. .5.37929. .0.
TwilightVale	.worldport .1. .4916.99. .328.43. .36.7678. .0.
Two Giant Sitting Dwarfs	.worldport .0. .-5829.66. .-2585.59. .311.971. .0.
Tyr's Hand	.worldport .0. .1612.63. .-5524.9. .111.148. .0.
TyrsHand	.worldport .0. .1683.56. .-5329.52. .73.6664. .0.
Uldaman	.worldport .70. .-228.193. .46.1602. .-46.0186. .0.
Undercity	.worldport .0. .1832.44. .236.426. .60.4171. .0.
Undercity	.worldport .0. .1831.26. .238.53. .60.52. .0.
Undercity Caves	.worldport .0. .1614.68. .643.289. .37.0547. .0.
Undercity Magic Quarter	.worldport .0. .1786.82. .47.9279. .-29.1457. .0.
Undercity Rogue's Quarter	.worldport .0. .1466.11. .49.6445. .-62.2932. .0.
Undercity The Apothecarium	.worldport .0. .1410.31. .430.512. .-80.3588. .0.
Undercity Trade Quarter	.worldport .0. .1586.48. .239.562. .-52.149. .0.
Undercity War Quarter	.worldport .0. .1658.95. .303.76. .-42.6923. .0.
Undercroft	.worldport .0. .1718.68. .-3281.46. .89.6587. .0.
Underwater Dark Portal	.worldport .1. .3466.36. .-6656.29. .-58.5217. .0.
Underwater Developer's Playground	.worldport .1. .-11700.4. .2282.02. .-11.8416. .0.
Unfinished Mansion	.worldport .0. .2853.92. .-718.217. .148.381. .0.
Unfinished Temple	.worldport .0. .-11845. .-1199.29. .77.2075. .0.
UnfinishedHills	.worldport .0. .-13010.2. .-1617.82. .146.263. .0.
UnfinishedLand	.worldport .0. .2231.97. .2242.84. .99.7369. .0.
UnfinishedLocation	.worldport .0. .-987.449. .1585.69. .53.4298. .0.
Ungoro Crater	.worldport .1. .-7434.56. .-1983.21. .-270.149. .0.
UnGoroCrater	.worldport .1. .-7932.49. .-2139.61. .-230.728. .0.
Unknown Big Dwarf City	.worldport .0. .-4053.99. .-3450.62. .283.383. .0.
Unknown City A	.worldport .0. .3653.67. .-3609.77. .137.118. .0.
Unknown City B	.worldport .1. .-9678.11. .1530.11. .43.025. .0.
Unknown Dwarf Fortress A	.worldport .0. .-6380.77. .-3139.89. .301.111. .0.
Unknown Dwarf Fortress B	.worldport .0. .-1266.15. .-1198.95. .40.1765. .0.
Unknown Mine	.worldport .0. .-870.601. .233.102. .9.93092. .0.
UnkownCity	.worldport .1. .-9678.11. .1530.11. .43.025. .0.
Ursolan	.worldport .1. .4219.37. .-5609.95. .118.166. .0.
Valgan's Field	.worldport .0. .964.877. .1238.75. .48.0979. .0.
Valley of Heroes	.worldport .0. .-8951.62. .524.373. .96.6275. .0.
Valley of Spears	.worldport .1. .-1482.87. .2855.86. .112.854. .0.
Valley of Trials Bindpoint	.worldport .1. .-636.469. .-4243.52. .38.1339. .0.
ValleyOfHonor	.worldport .1. .2002.99. .-4698.97. .24.646. .0.
ValleyOfKings	.worldport .0. .-5840.93. .-2577.82. .310.546. .0.
ValleyofSpears	.worldport .1. .-1270.57. .2849.63. .113.745. .0.
ValleyOfSpirits	.worldport .1. .1551.21. .-4180.58. .40.3741. .0.
ValleyOfStrength	.worldport .1. .1719.05. .-3948.28. .49.0563. .0.
ValleyOfTheWatchers	.worldport .1. .-9418.25. .-2761.61. .19.9639. .0.
ValleyofTrials	.worldport .1. .-598.204. .-4330.15. .37.6841. .0.
ValleyOfWisdom	.worldport .1. .1931.81. .-4282.29. .29.0671. .0.
ValorsRest	.worldport .1. .-6379.74. .-304.357. .-1.86658. .0.
Vault	.worldport .0. .-8653.45. .606.19. .91.16. .5.37.
VentureCoBaseCamp	.worldport .0. .-12026.1. .-524.549. .10.8818. .0.
VentureCoMine	.worldport .1. .-1445.53. .-1064.14. .143.596. .0.
VileReef	.worldport .0. .-12133.7. .938.409. .2.74307. .0.
Village	.worldport .0. .2016.11. .-4486.36. .73.6226. .0.
WailingCaverns	.worldport .1. .-746.207. .-2213.18. .14.8909. .0.
WallingCaverns	.worldport .43. .-164.996. .135.503. .-73.2155. .0.
WarQuarters	.worldport .0. .1775.76. .418.224. .-58.0309. .0.
WarriorsTerrace	.worldport .1. .9951.55. .2279.6. .1341.39. .0.
WarsongLumberCamp	.worldport .1. .2690.32. .-3452.45. .113.582. .0.
WarsonGulch	.worldport .48. .-152.984. .106.33. .-40.0953. .0.
WeazelsCrater	.worldport .1. .-5878.11. .-3864.68. .-61.0863. .0.
WebwinderPath	.worldport .1. .591.836. .327.223. .46.658. .0.
Weird Flowers	.worldport .0. .-3256.88. .-2718.36. .9.41205. .0.
Welgars ExcavationSite	.worldport .0. .-3522.96. .-1848.58. .25.1502. .0.
WellspringLake	.worldport .1. .10376.8. .1625.69. .1288.91. .0.
WestbrookGarrison	.worldport .0. .-9646.46. .679.589. .37.4136. .0.
Western Strand	.worldport .0. .-1019.67. .-359.442. .5.13463. .0.
Westfall	.worldport .0. .-10645.9. .1179.06. .48.1781. .0.
Westfall Lighthouse	.worldport .0. .-11399.2. .1947.85. .10.1451. .0.
Wetlands	.worldport .0. .-4086.36. .-2610.95. .46.0143. .0.
Whelgar's Excavation Site	.worldport .0. .-3522.96. .-1848.58. .25.1502. .0.
Whispering Gardens	.worldport .0. .2795.02. .-753.797. .138.036. .0.
Whispering Shore	.worldport .0. .2538.92. .1407.01. .5.69061. .0.
WhisperingGardens	.worldport .0. .2795.02. .-753.797. .138.036. .0.
WildhammerKeep	.worldport .0. .357.22. .-2106.09. .121.839. .0.
Wildmane Water Well	.worldport .1. .-758.744. .-149.474. .-27.712. .0.
WildmaneWaterWell	.worldport .1. .-758.744. .-149.474. .-27.712. .0.
WildpawRidge	.worldport .30. .-419.025. .-532.699. .84.0135. .0.
WildShore	.worldport .0. .-14692.4. .506.162. .1.78241. .0.
Windshear Crag	.worldport .1. .1160.25. .51.3229. .1.072. .0.
WinteraxHold	.worldport .30. .-149.652. .26.6353. .77.0384. .0.
WinterSpring	.worldport .1. .6107.62. .-4181.6. .852.322. .0.
Winterspring Ice World	.worldport .1. .7503.31. .-4388.79. .725.559. .0.
Witherbark Village	.worldport .0. .-1763.41. .-3371.67. .40.609. .0.
WitherbarkVillage	.worldport .0. .-1763.41. .-3371.67. .40.609. .0.
World Tree	.worldport .1. .5622.56. .-3378.82. .1584.45. .0.
Wreck from Battle	.worldport .0. .-4939.1. .-3423.74. .305.595. .0.
WrithingHaunt	.worldport .0. .1462.13. .-1864.02. .58.7028. .0.
Wyrmbog	.worldport .1. .-4682.97. .-3607.63. .58.45. .0.
Xavian	.worldport .1. .2867.03. .-2595.67. .219.911. .0.
Xavian	.worldport .1. .2926.99. .-2817.98. .211.872. .0.
YorgenFarmstead	.worldport .0. .-11105.4. .-500.791. .32.8518. .0.
Zepellins	.worldport .1. .-4006.19. .-3777.83. .40.6804. .0.
ZiataJaiRuins	.worldport .0. .-12697.1. .-462.157. .29.9788. .0.
Ziggaraut	.worldport .0. .2433.31. .-3782.06. .185.472. .0.
Ziggaraut in Mushroom Field	.worldport .0. .2823.83. .-3727.76. .124.971. .0.
Zoram's Stand	.worldport .1. .3652.24. .928.308. .7.01517. .0.
ZoramsStand	.worldport .1. .3652.24. .928.308. .7.01517. .0.
ZoramStrand	.worldport .1. .3567.67. .967.583. .2.01467. .0.
ZulFarrak	.worldport .209. .1221.82. .840.746. .8.97647. .0.
ZulGurub	.worldport .309. .-11942.6. .-1544.28. .39.5945. .0.
ZulGurubVillage	.worldport .0. .-12332.5. .-1859.81. .130.321. .0.
ZulMashar	.worldport .0. .3386.86. .-4931.45. .161.093. .0.
Zun'Watha	.worldport .0. .-35.7245. .-2479.51. .120.423. .0.
ZunWatha	.worldport .0. .-35.7245. .-2479.51. .120.423. .0.
Zuuldaia Ruins	.worldport .0. .-11683.1. .925.209. .3.64735. .0.
